beatsPerMinute,beatAvg,GSR
0.0,0.0,674.0
0.0,0.0,601.0
0.0,0.0,550.0
0.0,0.0,529.0
0.0,0.0,672.0
0.0,0.0,638.0
0.0,0.0,597.0
0.0,0.0,569.0
0.0,0.0,672.0
0.0,0.0,650.0
0.0,0.0,620.0
0.0,0.0,596.0
0.0,0.0,673.0
0.0,0.0,653.0
0.0,0.0,627.0
0.0,0.0,609.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,630.0
0.0,0.0,614.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,631.0
0.0,0.0,612.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,633.0
0.0,0.0,612.0
0.0,0.0,673.0
0.0,0.0,659.0
0.0,0.0,636.0
0.0,0.0,613.0
0.0,0.0,673.0
0.0,0.0,659.0
0.0,0.0,637.0
0.0,0.0,614.0
0.0,0.0,674.0
0.0,0.0,659.0
0.0,0.0,640.0
0.0,0.0,617.0
0.0,0.0,677.0
0.0,0.0,657.0
0.0,0.0,640.0
0.0,0.0,622.0
0.0,0.0,672.0
0.0,0.0,655.0
0.0,0.0,638.0
0.0,0.0,623.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,637.0
0.0,0.0,624.0
0.0,0.0,673.0
0.0,0.0,653.0
0.0,0.0,634.0
0.0,0.0,624.0
0.0,0.0,673.0
0.0,0.0,653.0
0.0,0.0,631.0
0.0,0.0,622.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,631.0
0.0,0.0,619.0
0.0,0.0,673.0
0.0,0.0,655.0
0.0,0.0,631.0
0.0,0.0,615.0
0.0,0.0,673.0
0.0,0.0,657.0
0.0,0.0,633.0
0.0,0.0,613.0
0.0,0.0,673.0
0.0,0.0,659.0
0.0,0.0,636.0
0.0,0.0,613.0
0.0,0.0,674.0
0.0,0.0,659.0
0.0,0.0,639.0
0.0,0.0,617.0
0.0,0.0,674.0
0.0,0.0,659.0
0.0,0.0,641.0
0.0,0.0,619.0
0.0,0.0,674.0
0.0,0.0,656.0
0.0,0.0,640.0
0.0,0.0,623.0
0.0,0.0,677.0
0.0,0.0,654.0
0.0,0.0,638.0
0.0,0.0,624.0
0.0,0.0,672.0
0.0,0.0,653.0
0.0,0.0,636.0
0.0,0.0,624.0
0.0,0.0,673.0
0.0,0.0,652.0
0.0,0.0,633.0
0.0,0.0,623.0
0.0,0.0,673.0
0.0,0.0,653.0
0.0,0.0,631.0
0.0,0.0,621.0
0.0,0.0,673.0
0.0,0.0,654.0
0.0,0.0,630.0
0.0,0.0,617.0
0.0,0.0,678.0
0.0,0.0,657.0
0.0,0.0,632.0
0.0,0.0,614.0
0.0,0.0,673.0
0.0,0.0,657.0
0.0,0.0,633.0
0.0,0.0,612.0
0.0,0.0,673.0
0.0,0.0,659.0
0.0,0.0,637.0
0.0,0.0,614.0
0.0,0.0,674.0
0.0,0.0,659.0
0.0,0.0,639.0
0.0,0.0,616.0
0.0,0.0,674.0
0.0,0.0,658.0
0.0,0.0,641.0
0.0,0.0,619.0
0.0,0.0,673.0
0.0,0.0,656.0
0.0,0.0,640.0
0.0,0.0,623.0
0.0,0.0,672.0
0.0,0.0,654.0
15.0,0.0,638.0
0.0,0.0,625.0
0.0,0.0,671.0
0.0,0.0,653.0
15.0,0.0,636.0
0.0,0.0,625.0
0.0,0.0,673.0
0.0,0.0,652.0
15.0,0.0,632.0
0.0,0.0,623.0
0.0,0.0,672.0
0.0,0.0,653.0
15.0,0.0,630.0
0.0,0.0,619.0
0.0,0.0,674.0
0.0,0.0,654.0
15.0,0.0,631.0
0.0,0.0,616.0
0.0,0.0,673.0
0.0,0.0,655.0
15.0,0.0,631.0
0.0,0.0,613.0
0.0,0.0,674.0
0.0,0.0,658.0
15.0,0.0,634.0
0.0,0.0,613.0
0.0,0.0,674.0
0.0,0.0,659.0
15.0,0.0,638.0
0.0,0.0,614.0
0.0,0.0,674.0
0.0,0.0,658.0
15.0,0.0,638.0
0.0,0.0,615.0
0.0,0.0,674.0
0.0,0.0,657.0
15.0,0.0,639.0
0.0,0.0,619.0
0.0,0.0,673.0
0.0,0.0,656.0
15.0,0.0,639.0
0.0,0.0,623.0
0.0,0.0,673.0
0.0,0.0,654.0
15.0,0.0,637.0
0.0,0.0,624.0
0.0,0.0,673.0
0.0,0.0,653.0
15.0,0.0,634.0
0.0,0.0,623.0
0.0,0.0,673.0
0.0,0.0,653.0
15.0,0.0,632.0
11.0,0.0,622.0
0.0,0.0,673.0
0.0,0.0,653.0
15.0,0.0,630.0
11.0,0.0,619.0
0.0,0.0,674.0
0.0,0.0,655.0
15.0,0.0,631.0
11.0,0.0,615.0
0.0,0.0,673.0
